latitude,longitude,satellites,speed,altitude,heading,temperature,bpm,year,month,day,hours,minutes,seconds,centiseconds
45.3562875,9.6787615,9,28.6,70.9,210.5,19.9,92,2021,03,21,16,43,51,60
45.3562767,9.6787515,9,27.2,70.5,210.6,19.9,92,2021,03,21,16,43,51,80
45.3562655,9.6787422,9,26.2,70.0,209.8,19.9,92,2021,03,21,16,43,52,00
45.3562552,9.6787330,9,25.2,69.8,209.9,19.9,92,2021,03,21,16,43,52,20
45.3562460,9.6787248,9,23.5,69.7,210.1,19.9,92,2021,03,21,16,43,52,40
45.3562373,9.6787165,9,22.4,69.7,210.9,19.9,92,2021,03,21,16,43,52,60
45.3562288,9.6787085,9,21.5,69.6,211.1,19.9,92,2021,03,21,16,43,52,80
45.3562210,9.6787007,9,20.6,69.6,211.6,19.9,92,2021,03,21,16,43,53,00
45.3562137,9.6786932,9,19.4,69.5,212.3,19.9,90,2021,03,21,16,43,53,20
45.3562063,9.6786857,9,18.6,69.4,212.9,19.9,90,2021,03,21,16,43,53,40
45.3561997,9.6786788,9,17.5,69.4,213.5,19.9,90,2021,03,21,16,43,53,60
45.3561937,9.6786717,9,16.6,69.3,214.8,19.9,90,2021,03,21,16,43,53,80
45.3561878,9.6786637,9,16.3,69.3,216.5,19.9,90,2021,03,21,16,43,54,00
45.3561825,9.6786555,9,16.0,69.3,219.7,19.9,90,2021,03,21,16,43,54,20
45.3561782,9.6786478,9,15.1,69.2,222.3,19.9,89,2021,03,21,16,43,54,40
45.3561733,9.6786397,9,15.3,69.1,223.9,19.9,89,2021,03,21,16,43,54,60
45.3561690,9.6786310,9,15.3,69.0,227.1,19.9,89,2021,03,21,16,43,54,80
45.3561640,9.6786222,9,16.2,69.1,228.8,19.9,89,2021,03,21,16,43,55,00
45.3561597,9.6786112,9,16.8,68.8,232.2,19.9,89,2021,03,21,16,43,55,20
45.3561553,9.6785998,9,17.5,68.8,234.9,19.9,89,2021,03,21,16,43,55,40
45.3561510,9.6785893,9,17.3,68.5,236.4,19.9,89,2021,03,21,16,43,55,60
45.3561470,9.6785790,9,17.4,68.2,237.8,19.9,88,2021,03,21,16,43,55,80
